,precision,recall,f1-score,support
Bottomwear,0.8774834437086093,0.8922558922558923,0.8848080133555928,297.0
Topwear,0.970919881305638,0.9348571428571428,0.9525473071324599,1750.0
Socks,0.8888888888888888,0.8767123287671232,0.8827586206896552,73.0
Watches,0.9663865546218487,0.8156028368794326,0.8846153846153846,282.0
Shoes,0.9195148842337376,0.9788732394366197,0.9482660602615123,852.0
Belts,1.0,0.64,0.7804878048780487,75.0
Flip Flops,0.8787878787878788,0.5523809523809524,0.6783625730994153,105.0
Bags,0.8475073313782991,0.8525073746312685,0.85,339.0
Innerwear,0.8866995073891626,0.8144796380090498,0.8490566037735849,221.0
Shoe Accessories,0.0,0.0,0.0,1.0
Jewellery,0.5336134453781513,0.9548872180451128,0.6846361185983828,133.0
Lips,0.8888888888888888,0.5,0.64,48.0
Saree,0.6285714285714286,0.9777777777777777,0.7652173913043477,45.0
Fragrance,0.6818181818181818,0.7731958762886598,0.7246376811594202,97.0
Sandal,0.6904761904761905,0.5178571428571429,0.5918367346938775,112.0
Nails,0.4878048780487805,0.5714285714285714,0.5263157894736842,35.0
Dress,0.5172413793103449,0.2727272727272727,0.3571428571428571,55.0
Wallets,0.30177514792899407,0.9714285714285714,0.4604966139954853,105.0
Eyewear,1.0,0.5089285714285714,0.6745562130177515,112.0
Headwear,0.6538461538461539,0.5,0.5666666666666668,34.0
Loungewear and Nightwear,0.8235294117647058,0.23728813559322035,0.368421052631579,59.0
Skin Care,0.0,0.0,0.0,10.0
Free Gifts,0.1111111111111111,0.07142857142857142,0.08695652173913043,14.0
Mufflers,0.0,0.0,0.0,3.0
Ties,0.7894736842105263,1.0,0.8823529411764706,30.0
Makeup,0.8,0.09090909090909091,0.163265306122449,44.0
Accessories,1.0,0.38461538461538464,0.5555555555555556,13.0
Scarves,0.8,0.4444444444444444,0.5714285714285714,9.0
Beauty Accessories,0.0,0.0,0.0,1.0
Water Bottle,0.0,0.0,0.0,1.0
Apparel Set,0.0,0.0,0.0,7.0
Skin,0.0,0.0,0.0,6.0
Eyes,0.0,0.0,0.0,2.0
Sports Accessories,0.0,0.0,0.0,0.0
Cufflinks,0.2571428571428571,0.8181818181818182,0.39130434782608686,11.0
Sports Equipment,0.0,0.0,0.0,1.0
Stoles,0.3333333333333333,0.08333333333333333,0.13333333333333333,12.0
Gloves,0.0,0.0,0.0,2.0
Hair,0.0,0.0,0.0,1.0
Perfumes,0.0,0.0,0.0,0.0
Home Furnishing,0.0,0.0,0.0,1.0
Bath and Body,0.0,0.0,0.0,2.0
Umbrellas,0.0,0.0,0.0,0.0
Wristbands,0.0,0.0,0.0,0.0
Vouchers,0.0,0.0,0.0,0.0
micro avg,0.8422,0.8422,0.8422,5000.0
macro avg,0.43410698804763803,0.37858002634900056,0.37455613474825117,5000.0
weighted avg,0.8727970205575432,0.8422,0.8412050856705793,5000.0
